ING,aromatic,sweet,sour,spicy,creamy,bitter ,salty,fruity,nutty,alcoholic,drink,fizzy_drink,fruit juice,dairy,syrups,
whiskey,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
demerara sugar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
dark rum,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,
cherry heering,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
gin,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
fruit punch,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
heavy cream,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
dubonnet rouge,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
pisco,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,
chocolate syrup,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
egg yolk,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
egg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
firewater,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
cognac,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
yoghurt,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
galliano,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
lime juice,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,
cachaca,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,
red wine,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
grapes,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
green creme de menthe,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
cider,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,
whisky,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
hot damn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grape juice,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
lemon peel,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,
irish whiskey,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,
apple brandy,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,
baileys irish cream,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,
blackberry brandy,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
ginger,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
creme de cassis,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,
cranberry vodka,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
kiwi liqueur,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
kiwi,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
kool-aid,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
mango,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
carbonated water,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
beer,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,
espresso,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,
mint,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
absinthe,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
cherry brandy,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
lemon juice,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,
sprite,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
port,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,
coffee brandy,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,
black sambuca,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
sugar syrup,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
raspberry vodka,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
frangelico,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
grapefruit juice,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,
ricard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
johnnie walker,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
sherry,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
jim beam,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
sloe gin,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
advocaat,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
peach nectar,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
prosecco,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,
lemon,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
ouzo,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,
godiva liqueur,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,
grand marnier,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,
yukon jack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
tomato juice,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,
wild turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
white rum,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
vermouth,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,
zima,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
peachtree schnapps,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
chambord raspberry liqueur,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
blueberry schnapps,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,
orange curacao,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,
ginger beer,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,
peach schnapps,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
soda water,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
kirschwasser,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,
pisang ambon,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
sweet and sour,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,
cranberry juice,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
creme de banane,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
dark creme de cacao,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
light cream,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,
almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
apple,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
brown sugar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
carrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
apple schnapps,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,
wine,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
grape soda,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,
mountain dew,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,
iced tea,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
rye whiskey,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
lemon juice,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,
banana,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
coconut liqueur,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,
root beer,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,
tia maria,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
passion fruit juice,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
erin cream,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,
club soda,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
tabasco sauce,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,
butterscotch schnapps,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
maraschino liqueur,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
vanilla extract,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
ginger ale,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,
ginger beer,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,
peach bitters,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
lime juice,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,
absolut peppar,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
sarsaparilla,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
raspberry liqueur,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
benedictine,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
pineapple,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
fruit juice,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
tonic water,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
lemon juice,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,
triple sec,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
grapefruit juice,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,
carbonated soft drink,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
corn syrup,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,
butter,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
half-and-half,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
peach brandy,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,
tennessee whiskey,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
jello,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
anis,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
green chartreuse,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
grain alcohol,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
apfelkorn,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,
bitter lemon,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,
